ID	Дата	Показатель	Показатель 2	Показатель 3	Показатель 4	Показатель 5
G0717	07.03.2016 8:48	0.24	0.578	0.044	0.512	5
G0944	07.03.2016 8:51	0.744	0.462	0.211	0.626	70
G0718	07.03.2016 8:53	0.649	0.54	0.062	0.493	62
G0945	07.03.2016 8:55	0.029	0.676	0.348	0.759	23
G0719	07.03.2016 8:55	0.215	0.658	0.182	0.649	70
G0720	07.03.2016 8:56	0.791	0.169	0.362	0.761	82
G0721	07.03.2016 8:59	0.194	0.163	0.649	0.663	99
G0722	07.03.2016 9:01	0.647	0.977	0.805	0.251	89
G0723	07.03.2016 9:01	0.351	0.817	0.427	0.127	33
G0724	07.03.2016 9:04	0.677	0.454	0.887	0.46	48
G0725	07.03.2016 9:04	0.585	0.254	0.908	0.084	34
G0726	07.03.2016 9:06	0.971	0.897	0.593	0.802	12
G0727	07.03.2016 9:10	0.754	0.388	0.933	0.139	2
G0728	07.03.2016 9:14	0.241	0.233	0.111	0.02	53
G0729	07.03.2016 9:14	0.253	0.876	0.128	0.125	10
G0730	07.03.2016 9:15	0.156	0.763	0.571	0.88	11
G0731	07.03.2016 9:18	0.899	0.646	0.548	0.34	16
G0732	07.03.2016 9:19	0.073	0.974	0.099	0.438	29
G0733	07.03.2016 9:21	0.029	0.495	0.636	0.337	64
G0734	07.03.2016 9:22	0.482	0.415	0.182	0.867	62
G0735	07.03.2016 9:22	0.604	0.737	0.496	0.285	62
G0736	07.03.2016 9:24	0.105	0.628	0.344	0.842	77
G0737	07.03.2016 9:25	0.516	0.925	0.479	0.887	41
G0738	07.03.2016 9:26	0.438	0.149	0.138	0.497	20
G0739	07.03.2016 9:31	0.384	0.625	0.073	0.864	97
G0740	07.03.2016 9:32	0.06	0.569	0.449	0.932	83
G0741	07.03.2016 9:33	0.776	0.261	0.119	0.999	14
G0742	07.03.2016 9:34	0.311	0.653	0.108	0.295	33
G0743	07.03.2016 9:34	0.352	0.021	0.327	0.744	65
G0744	07.03.2016 9:39	0.619	0.531	0.822	0.417	38
G0745	07.03.2016 9:43	0.604	0.819	0.114	0.391	2
G0946	07.03.2016 9:44	0.77	0.943	0.411	0.014	62
G0746	07.03.2016 9:46	0.074	0.327	0.749	0.802	16
G0747	07.03.2016 9:46	0.42	0.548	0.361	0.452	54
G0748	07.03.2016 9:46	0.956	0.069	0.811	0.708	90
G0749	07.03.2016 9:47	0.186	0.301	0.694	0.071	3
G0750	07.03.2016 9:49	0.073	0.571	0.96	0.564	23
G0751	07.03.2016 9:53	0.244	0.886	0.139	0.075	88
G0752	07.03.2016 9:55	0.316	0.58	0.026	0.968	46
G0753	07.03.2016 9:56	0.645	0.215	0.627	0.985	1
G0754	07.03.2016 9:59	0.885	0.343	0.399	0.646	6
G0755	07.03.2016 10:00	0.996	0.987	0.093	0.648	55
G0756	07.03.2016 10:01	0.052	0.95	0.741	0.992	43
G0757	07.03.2016 10:10	0.929	0.314	0.589	0.817	72
G0758	07.03.2016 10:11	0.856	0.736	0.009	0.184	43
G0759	07.03.2016 10:13	0.349	0.402	0.713	0.289	51
G0760	07.03.2016 10:13	0.062	0.748	0.784	0.844	73
G0761	07.03.2016 10:14	0.911	0.304	0.351	0.604	21
G0762	07.03.2016 10:15	0.078	0.278	0.925	0.279	96
G0763	07.03.2016 10:17	0.152	0.729	0.727	0.313	70
G0764	07.03.2016 10:20	0.242	0.45	0.52	0.27	70
G0765	07.03.2016 10:20	0.125	0.912	0.77	0.799	60
G0766	07.03.2016 10:23	0.164	0.877	0.163	0.431	26
G0767	07.03.2016 10:26	0.962	0.553	0.791	0.67	21
G0768	07.03.2016 10:29	0.6	0.377	0.536	0.132	27
G0769	07.03.2016 10:32	0.476	0.814	0.473	0.707	27
G0770	07.03.2016 10:34	0.76	0.752	0.306	0.976	11
G0771	07.03.2016 10:36	0.311	0.38	0.174	0.379	51
G0772	07.03.2016 10:38	0.034	0.632	0.333	0.85	14
G0773	07.03.2016 10:40	0.348	0.581	0.544	0.922	6
G0774	07.03.2016 10:42	0.987	0.375	0.192	0.526	69
G0775	07.03.2016 10:45	0.577	0.578	0.448	0.971	61
G0776	07.03.2016 10:50	0.09	0.037	0.008	0.836	98
G0777	07.03.2016 10:52	0.566	0.612	0.213	0.768	44
G0778	07.03.2016 10:54	0.207	0.403	0.601	0.403	72
G0779	07.03.2016 10:56	0.541	0.313	0.175	0.92	24
G0780	07.03.2016 11:00	0.236	0.073	0.946	0.934	62
G0781	07.03.2016 11:00	0.966	0.074	0.545	0.731	72
G0947	07.03.2016 11:01	0.822	0.623	0.943	0.079	66
G0782	07.03.2016 11:05	0.03	0.485	0.59	0.086	6
G0783	07.03.2016 11:17	0.459	0.815	0.504	0.853	21
G0784	07.03.2016 11:19	0.556	0.835	0.121	0.903	19
G0785	07.03.2016 11:21	0.99	0.882	0.946	0.614	92
G0786	07.03.2016 11:32	0.21	0.667	0.296	0.149	82
G0787	07.03.2016 11:41	0.221	0.868	0.701	0.611	46
G0788	07.03.2016 11:47	0.49	0.407	0.735	0.413	37
G0789	07.03.2016 11:48	0.46	0.031	0.341	0.091	4
G0790	07.03.2016 11:51	0.433	0.044	0.947	0.049	60
G0791	07.03.2016 11:51	0.079	0.31	0.906	0.968	77
G0792	07.03.2016 11:52	0.355	0.881	0.073	0.87	16
G0793	07.03.2016 11:57	0.925	0.857	0.554	0.056	84
G0794	07.03.2016 11:58	0.705	0.347	0.935	0.42	91
G0795	07.03.2016 12:03	0.512	0.626	0.521	0.864	46
G0796	07.03.2016 12:07	0.496	0.864	0.405	0.796	3
G0797	07.03.2016 12:12	0.583	0.025	0.389	0.953	66
G0798	07.03.2016 12:15	0.173	0.792	0.079	0.034	97
G0799	07.03.2016 12:18	0.755	0.642	0.674	0.858	92
G0800	07.03.2016 12:18	0.361	0.418	0.272	0.066	22
G0801	07.03.2016 12:19	0.82	0.013	0.719	0.565	53
G0802	07.03.2016 12:21	0.209	0.021	0.314	0.229	85
G0803	07.03.2016 12:27	0.68	0.47	0.904	0.564	84
G0804	07.03.2016 12:30	0.111	0.994	0.173	0.345	91
G0805	07.03.2016 12:31	0.178	0.047	0.17	0.448	32
G0806	07.03.2016 12:41	0.972	0.032	0.375	0.356	64
G0807	07.03.2016 12:45	0.032	0.442	0.848	0.09	37
G0808	07.03.2016 12:45	0.971	0.376	0.251	0.528	44
G0809	07.03.2016 12:49	0.051	0.047	0.811	0.37	99
G0810	07.03.2016 12:51	0.544	0.125	0.487	0.211	69
G0811	07.03.2016 12:56	0.552	0.043	0.928	0.473	30
G0812	07.03.2016 12:58	0.055	0.611	0.985	0.171	44
G0948	08.03.2016 4:27	0.761	0.554	0.841	0.748	74
G0949	08.03.2016 5:43	0.009	0.833	0.051	0.473	76
G0950	08.03.2016 5:55	0.806	0.858	0.043	0.122	27
G0951	08.03.2016 6:16	0.659	0.953	0.872	0.935	7
G0952	08.03.2016 6:17	0.942	0.675	0.277	0.087	20
G0953	08.03.2016 6:20	0.075	0.861	0.332	0.142	20
G0954	08.03.2016 6:33	0.734	0.5	0.249	0.246	97
G0955	08.03.2016 6:40	0.246	0.795	0.118	0.021	22
G0956	08.03.2016 6:41	0.414	0.017	0.641	0.416	63
G0957	08.03.2016 6:52	0.108	0.027	0.15	0.979	18
G0958	08.03.2016 6:59	0.255	0.555	0.454	0.302	26
G0959	08.03.2016 7:02	0.614	0.611	0.323	0.607	61
G0960	08.03.2016 7:11	0.952	0.626	0.646	0.726	8
G0961	08.03.2016 7:13	0.677	0.195	0.56	0.94	83
G0962	08.03.2016 7:22	0.44	0.513	0.1	0.425	44
G0963	08.03.2016 7:28	0.977	0.891	0.173	0.286	7
G0964	08.03.2016 7:32	0.635	0.925	0.886	0.407	62
G0965	08.03.2016 7:36	0.983	0.214	0.546	0.613	46
G0966	08.03.2016 7:38	0.077	0.712	0.854	0.87	40
G0967	08.03.2016 7:42	0.944	0.079	0.121	0.503	71
G0968	08.03.2016 7:42	0.689	0.648	0.522	0.686	49
G0969	08.03.2016 7:42	0.764	0.859	0.705	0.661	74
G0970	08.03.2016 7:43	0.647	0.27	0.293	0.446	78
G0971	08.03.2016 7:45	0.639	0.511	0.081	0.995	4
G0972	08.03.2016 7:46	0.001	0.782	0.97	0.065	31
G0973	08.03.2016 7:48	0.553	0.76	0.938	0.253	87
G0974	08.03.2016 7:49	0.043	0.024	0.594	0.955	21
G0975	08.03.2016 7:52	0.433	0.351	0.111	0.224	25
G0976	08.03.2016 8:01	0.723	0.501	0.588	0.757	26
G0977	08.03.2016 8:08	0.381	0.351	0.133	0.504	80
G0978	08.03.2016 8:10	0.544	0.472	0.219	0.632	46
G0979	08.03.2016 8:11	0.026	0.531	0.102	0.819	34
G0980	08.03.2016 8:16	0.639	0.107	0.365	0.125	26
G0981	08.03.2016 8:18	0.308	0.796	0.857	0.915	38
G0982	08.03.2016 8:19	0.865	0.703	0.603	0.578	67
G0983	08.03.2016 8:22	0.875	0.686	0.467	0.011	32
G0984	08.03.2016 8:22	0.218	0.963	0.605	0.119	17
G0985	08.03.2016 8:23	0.359	0.935	0.037	0.808	57
G0986	08.03.2016 8:23	0.313	0.339	0.845	0.201	46
G0987	08.03.2016 8:27	0.185	0.094	0.823	0.07	41
G0988	08.03.2016 8:29	0.519	0.435	0.62	0.713	97
G0989	08.03.2016 8:29	0.754	0.217	0.657	0.761	65
G0990	08.03.2016 8:29	0.368	0.474	0.389	0.65	21
G0991	08.03.2016 8:33	0.958	0.61	0.689	0.745	20
G0992	08.03.2016 8:35	0.378	0.827	0.413	0.344	95
G0993	08.03.2016 8:36	0.529	0.64	0.437	0.051	34
G0994	08.03.2016 8:38	0.207	0.606	0.717	0.258	17
G0995	08.03.2016 8:39	0.837	0.608	0.16	0.699	88
G0996	08.03.2016 8:40	0.547	0.317	0.365	0.346	89
G0997	08.03.2016 8:40	0.902	0.686	0.525	0.089	6
G0998	08.03.2016 8:42	0.988	0.579	0.036	0.972	71
G0999	08.03.2016 8:43	0.715	0.914	0.607	0.949	37
G01000	08.03.2016 8:43	0.699	0.9	0.927	0.393	28
